ontology,class,attribute,data_type,relation,object
UpperOntology,cx:Action,,,cx:isInvolvedIn,cx:Process
UpperOntology,cx:Action,,,cx:isInvolvedIn,cx:Action
DiagnosisOntology,cx:ActualCause,,,cx:hasCauseType,cx:CauseType
CommonOntology,cx:Assembly,,,cx:produces,cx:Product
ProductionOntology,cx:AssemblyEvent,cx:assemblyCompleted,xsd:boolean,,
ProductionOntology,cx:AssemblyEvent,cx:assemblyCountry,xsd:string,,
ProductionOntology,cx:AssemblyEvent,cx:assemblyDatetime,xsd:dateTime,,
ProductionOntology,cx:AssemblyEvent,cx:assemblyEventId,xsd:string,,
ProductionOntology,cx:AssemblyEvent,,,cx:isInvolvedIn,cx:AssemblyProcess
ProductionOntology,cx:AssemblyEvent,,,cx:isLocatedIn,cx:Plant
ProductionOntology,cx:AssemblyProcess,cx:assemblyProcessId,xsd:string,,
ProductionOntology,cx:AssemblyProcess,cx:assemblyProcessName,xsd:string,,
ProductionOntology,cx:AssemblyProcess,,,cx:isLocatedIn,cx:Plant
CommonOntology,cx:Asset,,,cx:isOwnedBy,cx:BusinessPartner
CommonOntology,cx:Asset,,,cx:isProvisionedBy,cx:BusinessPartner
PartOntology,cx:BatchPart,cx:batchNumber,xsd:string,,
PartOntology,cx:BatchPart,cx:batchProductionDate,xsd:date,,
PartOntology,cx:BatchPart,cx:batchProductionDateTime,xsd:dateTime,,
PartOntology,cx:BatchPart,,,cx:isAffectedIn,cx:IncidentReport
PartOntology,cx:BatchPart,,,cx:isItemOf,cx:Vehicle
PrognosisOntology,cx:BatteryHealthCondition,cx:batteryStateOfHealth,xsd:double,,
CommonOntology,cx:Bill,,,cx:hasBillingAddress,cx:BillingAddress
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialCurrency,xsd:string,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialId,xsd:string,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialName,xsd:string,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialPrice,xsd:decimal,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialQuantity,xsd:integer,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialUnit,xsd:string,,
MaterialOntology,cx:BuildingMaterial,,,cx:isPartOf,cx:Building
VehicleOntology,cx:BusDriver,,,cx:drives,cx:Bus
VehicleOntology,cx:BusDriver,,,cx:drives,cx:Coach
AddressOntology,cx:BusinessAddress,cx:companyName,xsd:string,,
ContactOntology,cx:BusinessContact,,,cx:hasBusinessAddress,cx:BusinessAddress
CommonOntology,cx:BusinessPartner,cx:businessPartnerNumber,xsd:string,,
CommonOntology,cx:BusinessPartner,cx:businessPartnerNumberType,xsd:string,,
CommonOntology,cx:BusinessPartner,,,cx:hasConnector,cx:EclipseDataspaceConnector
CommonOntology,cx:BusinessPartner,,,cx:hasRole,cx:Role
VehicleOntology,cx:Cargo,,,cx:isTransportedBy,cx:TransportVehicle
PersonOntology,cx:Child,,,cx:isChildOf,cx:Person
CountryOntology,cx:City,cx:cityName,xsd:string,,
CountryOntology,cx:City,,,cx:isLocatedIn,cx:Country
VehicleOntology,cx:CommercialVehicle,,,cx:isOwnedBy,cx:Organisation
CommonOntology,cx:Company,cx:companyName,xsd:string,,
CommonOntology,cx:Company,,,cx:isAffectedIn,cx:IncidentReport
