ontology,class,attribute,data_type
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#BusinessAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#companyName,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#PostOfficeBox,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#postOfficeBoxNumber,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#apartmentNumber,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#buildingLevel,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#buildingName,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#buildingNumber,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#city,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#country,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#county,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#district,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#fullStreetAddress,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#houseNumber,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#postalCode,http://www.w3.org/2001/XMLSchema#string
https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/address_ontology.ttl,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#StreetAddress,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#receiverFirstName,http://www.w3.org/2001/XMLSchema#string
