type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links,is_inverse_of,is_disjoint_with
# prefix,cx,,,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,,,
# title,common ontology,,,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,,,
# contributor,,,,,,,,,,,,,,
# description,"The Catena-X common ontology contains all domain-independent classes, attributes and relations.",,,,,,,,,,,,,
# import,,,,,,,,,,,,,,
class,material thing,owl:Thing,,,,Materielles Ding,An entity that exists in a physical form.,"product, object, equipment, substance",top level class,"material entity, physical object, material object, concrete object, tangible, material, physical",,"https://en.wikipedia.org/wiki/Philosophy_of_matter, https://schema.org/Thing",,"immaterial thing, action, event, organisation, person, place, process, product"
class,immaterial thing,owl:Thing,,,,Immaterielles Ding,An entity that exists in a non-physical form.,"idea, concept, information,  knowledge, feeling, domain, idea, concept, object, domain, plan",top level class,"immaterial entity, non-physical object, immaterial object, abstract object, intangible, immaterial, mental, non-material",,"https://en.wikipedia.org/wiki/Non-physical_entity, https://schema.org/Intangible",,"material thing, action, event, organisation, person, place, process, product"
class,action,owl:Thing,,,,Handlung,An action is an activity or movement that is done in order to achieve a goal.,,top level class,activity,,https://schema.org/Action,,"material thing, immaterial thing, event, organisation, person, place, process, product"
attribute,action id,,event,xsd:string,,,,,,,,,,
attribute,action name,,event,xsd:string,,,,,,,,,,
class,event,owl:Thing,,,,Ereignis,An event is something that happens at a given place and time.,,top level class,,,https://schema.org/Event,,"material thing, immaterial thing, action, organisation, person, place, process, product"
attribute,event id,,event,xsd:string,,,,,,,,,,
attribute,event name,,event,xsd:string,,,,,,,,,,
attribute,event type,,event,xsd:string,,,,,,,,,,
attribute,event date,,event,xsd:date,,,,,,,,,,
attribute,event duration,,event,xsd:integer,,,,in seconds,,,,,,
attribute,event location,,event,xsd:string,,,,,,,,,,
class,organisation,owl:Thing,,,,Organisation,A organization is a group of people who work together to achieve a common goal.,company,top level class,,,https://schema.org/Organization,,"material thing, immaterial thing, action, event, person, place, process, product"
class,person,owl:Thing,,,,Person,A person is a human being.,Max Mustermann,top level class,people,,https://schema.org/Person,,"material thing, immaterial thing, action, event, organisation, place, process, product"
class,place,owl:Thing,,,,Ort,A place is a specific location.,building,top level class,location,,https://schema.org/Place,,"material thing, immaterial thing, action, event, organisation, person, process, product"
class,process,owl:Thing,,,,Prozess,"A process is a set of activities that interact to produce a result; it has inputs and outputs, and a sequence of steps that in some way transform the inputs into the outputs.",,top level class,,,,,"material thing, immaterial thing, action, event, organisation, person, place, product"
class,product,owl:Thing,,,,Product,A product is a good or service that is offered for sale.,,top level class,,,"https://schema.org/Product, https://en.wikipedia.org/wiki/Product_(business)",,"material thing, immaterial thing, action, event, organisation, person, place, process"
attribute,price,,product,xsd:float,,,,,,,,https://schema.org/price,,
class,goods,"material thing, product",,,,Güter,"tangible, transferable product",,,good,Gut,https://en.wikipedia.org/wiki/Goods,,service
class,service,"immaterial thing, product",,,,Dienstleistung,"intangible, not transferable product",,,,,"https://schema.org/Service, https://en.wikipedia.org/wiki/Service_(economics)",,goods
class,information,immaterial thing,,,,,,,,,,,,
class,concept,immaterial thing,,,,,,,,,,,,
class,role,immaterial thing,,,,Rolle,,,,,,https://schema.org/Role,,
class,law,immaterial thing,,,,Gesetz,,,,,,,,
class,regulation,immaterial thing,,,,Verordnung,,,,,,,,
class,company,organisation,,,,Unternehmen,,,,,,"https://en.wikipedia.org/wiki/Company, https://schema.org/Corporation",,
attribute,company name,,company,xsd:string,,,,,,,,,,
class,service provider,organisation,,,,Dienstleister,,,,,,https://en.wikipedia.org/wiki/Service_provider,,
class,Small and medium-sized enterprise,company,,,,Kleine und mittlere Unternehmen,,,,Small and medium-sized enterprise (SME),Kleine und mittlere Unternehmen (KMU),https://en.wikipedia.org/wiki/Small_and_medium-sized_enterprises,,
class,business partner,company,,,,Geschäftspartner,A Business Partner is a legal entity that is part of the Catena-X network or that stands in a relevant relation to a Catena-X Business Partner.,"Audi, BMW, Mercedes, Volkswagen",,business partner (BP),,https://en.wikipedia.org/wiki/Business_partner,,
attribute,business partner number,,business partner,xsd:string,BPNL,,The (long) Business Partner Number is a unique identifier following the pattern 'BPNL[0-9]{8}[A-Z]{4}'.,,,business partner number long (BPNL),,,,
attribute,business partner number type,,business partner,xsd:string,BPNL Type,,The (long) Business Partner Number Type describes strings following the pattern 'BPNL[0-9]{8}[A-Z]{4}'.,,,,,,,
relation,has role,,business partner,role,,,,,,,,,,
relation,has connector,,business partner,eclipse dataspace connector,,,,,,,,,,
class,asset,immaterial thing,,,,,An Asset is any artifact that is provisioned/owned/attributed to some Catena-X Business Partner.,,,,,,,
relation,is provisioned by,,asset,business partner,,,The provisioned by predicate connects assets to their providing Catena-X Business Partner.,,,,,,,
relation,is owned by,,asset,business partner,,,,,,,,,,
class,employee,person,,,,Mitarbeiter,,,,,,https://schema.org/employee,,
relation,works for,,employee,organisation,,,,,,,,,,
attribute,employee id,,employee,xsd:string,,,,,,,,,,
class,manufacturer,role,,,,Hersteller,,,,,,https://schema.org/manufacturer,,
relation,produces,,manufacturer,product,,,,,,,,,,
relation,is supplied by,,manufacturer,supplier,,,,,,,,,,
attribute,manufacturer id,,manufacturer,xsd:string,,,,,,,,,,
attribute,manufacturer name,,manufacturer,xsd:string,,,,,,,,,,
class,customer,person,,,,Kunde,,,,,,,,
relation,purchases,,customer,product,,,,,,,,,,
relation,purchases from,,customer,seller,,,,,,,,,,
class,final customer,"person, organisation",,,,Endkunde,,,,end user,Endnutzer,,,
relation,purchases,,final customer,final product,,,,,,,,,,
attribute,final customer id,,final customer,xsd:string,,,,,,,,,,
class,private customer,person,,,,Privatkunde,,,,,,https://en.wikipedia.org/wiki/Customer,,
class,business customer,organisation,,,,Geschäftskunde,,,,,,,,
class,supplier,role,,,,Lieferant,,,,"vendor, supplier, provider, seller",,https://en.wikipedia.org/wiki/Vendor,,
relation,supplies,,supplier,product,,,,,,,,,,
relation,supplies to,,supplier,manufacturer,,,,,,,,,,
attribute,supplier id,,supplier,xsd:string,,,,,,,,,,
attribute,supplier name,,supplier,xsd:string,,,,,,,,,,
class,component supplier,supplier,,,,Komponentlieferant,,,,,,,,
class,seller,role,,,,Verkäufer,,,,"salesman, saleswoman, salesperson",,https://en.wikipedia.org/wiki/Sales,,
relation,sells,,seller,product,,,,,,,,,,
class,retailer,role,,,,Einzelhändler,,,B2C,,,https://de.wikipedia.org/wiki/Retail,,wholesaler
relation,sells,,retailer,product,,,,,,,,,,
class,wholesaler,role,,,,Großhändler,,,B2B,,,https://en.wikipedia.org/wiki/Wholesaling,,retailer
relation,sells,,wholesaler,product,,,,,,,,,,
class,reseller,role,,,,Wiederverkäufer,,,,,,"https://en.wikipedia.org/wiki/Reseller, https://schema.org/broker",,
relation,sells,,reseller,product,,,,,,,,,,
class,recycler,role,,,,Verwerter,,,,,,https://en.wikipedia.org/wiki/Recycling,,
relation,recycles,,recycler,product,,,,,,,,,,
class,disposer,role,,,,Entsorger,,,,,,,,
relation,disposes,,disposer,product,,,,,,,,,,
class,offer,event,,,,,,,,offering,,https://schema.org/Offer,,
relation,makes offer,,"person, organisation",offer,,,,,,,,https://schema.org/makesOffer,,
relation,is offered by,,offer,"person, organisation",,,,,,,,https://schema.org/offeredBy,,
class,order,event,,,,,,,,,,https://schema.org/Order,,
