type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,contact ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,,,,,,,,,,,,
# description,,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,address ontology,,,,,,,,,,,
class,contact,information,,,,Kontaktdaten,,,,"contact information, business card, contact data, contact point","Kontaktinformation, Kontaktdaten, Visitenkarte","https://en.wikipedia.org/wiki/Business_card, https://schema.org/ContactPoint"
relation,has contact,,"person, organisation, product, service",contact,,,,,,,,
relation,has street address,,contact,street address,,,,,,,,
relation,has location,,contact,place,,,,,,,,
attribute,contact id,identifier,contact,xsd:string,,Kontakt Id,,12345.0,,,,
attribute,contact name,name,contact,xsd:string,,Kontakt Name,,Max Mustermann,,,,
attribute,email,,contact,xsd:string,,Email,,max@mustermann.de,,"email, e-mail, electronic mail (email)",,"https://en.wikipedia.org/wiki/Email, https://schema.org/email"
attribute,mobile number,,contact,xsd:string,,Handynummer,,+49 (123) 4567890,,mobile,Handy,
attribute,telephone number,,contact,xsd:string,,Telefonnummer,,+49 (123) 4567890,,"phone, phone number",Rufnummer,"https://en.wikipedia.org/wiki/Telephone_number, https://schema.org/telephone"
attribute,fax number,,contact,xsd:string,,Faxnummer,,+49 (123) 4567890,optional,,,https://schema.org/faxNumber
attribute,website,,contact,xsd:string,,Webseite,,https://mustermann.de/,optional,home page,,https://schema.org/WebPage
attribute,linked in,,contact,xsd:string,,LinkedIn,,https://www.linkedin.com/in/maxmustermann/,optional,,,https://www.linkedin.com
attribute,xing,,contact,xsd:string,,Xing,,https://www.xing.com/pages/maxmustermann,optional,,,https://www.xing.com/
attribute,contact channel,,contact,xsd:string,,Kontaktkanal,preference of contact channel,"phone, email",optional,,Kontaktweg,
attribute,contact hours,,contact,xsd:string,,Kontaktzeiten,available contact hours,,optional,,"Sprechzeiten, Öffnungszeiten","https://schema.org/hoursAvailable, https://en.wikipedia.org/wiki/Business_hours"
attribute,contact language,,contact,xsd:string,,Kontaktsprache,preferred contact language,"en, de",optional,,,https://schema.org/availableLanguage
class,private contact,contact,,,,Privatkontakt,Contact for private purposes.,,,,,https://schema.org/homeLocation
relation,has private address,,private contact,private address,,,,,,,,
class,business contact,contact,,,,Geschäftskontakt,Contact for business purposes.,,,,,https://schema.org/workLocation
attribute,affiliation,,contact,xsd:string,,,,,,,,https://schema.org/affiliation
relation,has business address,,business contact,business address,,,,,,,,
class,service contact,business contact,,,,Servicekontakt,,,,,,
class,customer service contact,service contact,,,,Kundendienst,,,,,,
class,v card,file format,,,,vCard,,,,Virtual Contact File (VCF),elektronische Visitenkarte,https://en.wikipedia.org/wiki/VCard
relation,is written in,,contact,v card,,,,,,,,
