type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,diagnosis ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# description,Ontology for vehicle diagnosis.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,vehicle ontology,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
class,vehicle diagnosis,process,,,,Fahrzeugdiagnose,Vehicle diagnosis is the identification of a problem or the cause and location of a problem.,,,,,"https://de.wikipedia.org/wiki/Fehlerdiagnose, https://en.wikipedia.org/wiki/Diagnosis"
relation,diagnoses,,vehicle diagnosis,vehicle,,,,,,,,
attribute,vehicle diagnosis date,,vehicle diagnosis,xsd:date,,,,,,,,
attribute,vehicle diagnosis location,,vehicle diagnosis,xsd:string,,,,,,,,
attribute,testing technician,,vehicle diagnosis,xsd:string,,,,,,,,
,,,,,,,,,,,,
class,diagnostic trouble code,immaterial thing,,,,Fehlercode,,,"ISO 15031-6, SAE J2012","diagnostic trouble code (DTC), error code, trouble code",Fehlercode,https://www.wikidata.org/wiki/Q5525576
attribute,diagnostic trouble code id,,diagnostic trouble code,xsd:string,,,,P0001,5-digit code,,,
attribute,diagnostic trouble code name,,diagnostic trouble code,xsd:string,,,,Steuerkreis Kraftstoffvolumenregler - offener Stromkreis,,,,
relation,has diagnostic trouble code,,vehicle diagnosis,diagnostic trouble code,,,,,,,,
relation,has encoding,,diagnostic trouble code,encoding,,,,,,,,
relation,has possible cause,,diagnostic trouble code,possible cause,,,,,,,,
relation,is stored in,,diagnostic trouble code,error memory,,,,,,,,
class,static error,diagnostic trouble code,,,,,,,,,,
class,sporadic error,diagnostic trouble code,,,,,,,,,,
class,critical diagnostic trouble code,diagnostic trouble code,,,,,,,,,,
class,non critical diagnostic trouble code,diagnostic trouble code,,,,,,,,,,
,,,,,,,,,,,,
class,possible cause,error cause,,,,,,,,,,
relation,has actual cause,,possible cause,actual cause,,,,,,,,
relation,is reason of,,part,possible cause,,,,,,,,
,,,,,,,,,,,,
class,actual cause,error cause,,,,,,,,,,
class,cause type,immaterial thing,,,,,,,,,,
relation,has cause type,,"possible cause, actual cause",cause type,,,,,,,,
,,,,,,,,,,,,
class,customer complaint,immaterial thing,,,,,,,,,,
class,mechanic observation,immaterial thing,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
class,data link connector,immaterial thing,,,,,,,,data link connector (DLC),,https://en.wikipedia.org/wiki/Data_link_connector_(automotive)
relation,has interface,,vehicle,data link connector,,,,,,,,
class,on board diagnostics 2,data link connector,,,,,,,,"On-board diagnostics (OBD), On-board diagnostics 2 (OBD2)",,https://en.wikipedia.org/wiki/On-board_diagnostics#OBD-II
class,Unified Diagnostic Services,immaterial thing,,,,,,,,Unified Diagnostic Services (UDS),,https://en.wikipedia.org/wiki/Unified_Diagnostic_Services
class,remote diagnostics,vehicle diagnosis,,,,,,,,,,https://en.wikipedia.org/wiki/Remote_diagnostics
class,telematics,immaterial thing,,,,Telematik,,,,,,https://en.wikipedia.org/wiki/Telematics
relation,has interface,,vehicle,telematics,,,,,,,,
,,,,,,,,,,,,
class,vehicle diagnostic device,immaterial thing,,,Diagnostic Device,Fahrzeugdiagnosegerät,,,,"diagnostic tool, OBD scanner",,
relation,connects to,,vehicle diagnostic device,on board diagnostics 2,,,,,,,,
class,vehicle diagnostic system,immaterial thing,,,Diagnostic System,Fahrzeugdiagnosesystem,,,,vehicle diagnostic system (VDS),,https://de.wikipedia.org/wiki/Fahrzeugdiagnosesystem
relation,connects to,,vehicle diagnostic system,on board diagnostics 2,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
