type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,encoding ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,,,,,,,,,,,,
# description,"An encoding provides information how to decode a code string, i.e. how to split its tokens and map its keys to its values.",,,,,,,,,,,
# import,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
class,encoding,immaterial thing,,,,Encodierung,Information to decode the meaning of a code that is given in a string.,,,encoding,,"https://en.wikipedia.org/wiki/Code, https://en.wikipedia.org/wiki/Identifier"
relation,encodes,,token,encoding,,,,,,,,
relation,is encoded by,,encoding,token,,,,,,,,
attribute,encoding name,,encoding,xsd:string,,Encodierungsname,,vehicle identification number,,,,
attribute,encoding standard,,encoding,xsd:string,,Encodierungsstandard,,ISO 3779,optional,,,
attribute,encoding example,,encoding,xsd:string,,Encodierungsbeispiel,,WBAWV13567P000000,,,,
attribute,number of digits,,encoding,xsd:integer,,Anzahl der Stellen,,17.0,,string length,,
attribute,number of tokens,,encoding,xsd:integer,,Anzahl der Token,,3.0,,,,
attribute,encoding range,,encoding,xsd:string,,,Character range for the complete encoding string.,"alphanumeric, numeric, alphabetic",,,,https://en.wikipedia.org/wiki/Alphanumericals
,,,,,,,,,,,,
class,token,immaterial thing,,,,Token,Substring of an encoded string that contains information.,,,,,https://en.wikipedia.org/wiki/Lexical_analysis#Tokenization
relation,maps,,token,owl:Thing,,,Token that maps directly to individuals of a class.,part number,,,,
attribute,token order,,token,xsd:integer,,Token Reihenfolge,The order of the tokens in the identifier.,"1, 2, 3",,,,
attribute,token range,,token,xsd:string,,,Character range for token.,"alphanumeric, numeric, alphabetic, [A-z], [A-z, 0-9]",,,,
class,fixed length token,token,,,,Token mit fester Länge,Token length is fixed and not variable.,,,,,
attribute,token length,,fixed length token,xsd:integer,,Token Länge,Fixed number of digits.,"1, 2, 3",,number of characters,,
class,variable length token,token,,,,Token mit variabler Länge,Token length is variable.,,,,,
attribute,toke separator,,variable length token,xsd:integer,,,,-,,delimiter,,
attribute,token min length,,variable length token,xsd:integer,,,Lowest possible number of digits.,"1, 2, 3",,,,
attribute,token max length,,variable length token,xsd:integer,,,Highest possible number of digits.,"1, 2, 3",,,,
,,,,,,,,,,,,
class,token dictionary,immaterial thing,,,,Wörterbuch,A dictionary maps a key to a value.,,,,,
relation,translates,,token dictionary,token,,übersetzt,Token that maps directly to a mapping table called token dictionary.,,,,,
relation,is translated by,,token,token dictionary,,wird übersetzt,,,,,,
attribute,token key,,token dictionary,xsd:string,,Token Key,,WBA,,,Kürzel,
attribute,token value,,token dictionary,xsd:string,,Token Wert,,BMW,,,Langform,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
