type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,error ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# description,,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
class,error,immaterial thing,,,,Fehler,deviation from the expected result,,what,"fault, defect, trouble, failure",,https://en.wikipedia.org/wiki/Error
relation,is defined by,,error,business partner,,,,,,,,
attribute,error id,,error,xsd:string,,,,"VFCode, P0001",,,,
attribute,error name,,error,xsd:string,,,,,,,,
attribute,error description,,error,xsd:string,,,,,,,,
attribute,error class,,error,xsd:string,,Fehlerklasse,,,,,,
attribute,error start date,,error,xsd:date,,,,,when,,,
attribute,error end date,,error,xsd:date,,,,,when,,,
class,vehicle error,error,,,,Fahrzeugfehler,,,,,,
relation,has error,,"vehicle, vehicle component, part",vehicle error,,,,,,,,
relation,is involved in,,vehicle error,"vehicle, vehicle component, part",,,,,,,,
relation,is involved in,,vehicle error,diagnostic trouble code,,,,,,,,
attribute,error mileage,,vehicle error,xsd:integer,,,,,,,,
class,error type,immaterial thing,,,,Fehlerart,,,which,,,
relation,is typed by,,error,error type,,,,,,,,
class,error cause,immaterial thing,,,,Fehlerursache,,,why,,,
relation,is caused by,,error,error cause,,,,,,,,
class,error location,immaterial thing,,,,Fehlerort,,"component, part",where,,,
relation,is located in,,error,error location,,,,,,,,
class,error position,immaterial thing,,,,Fehlerposition,,"left, right, top, bottom, front, back",where,,Fehlerlage,
relation,is located in,,error,error position,,,,,,,,
class,error condition,immaterial thing,,,,Fehlerbedingung,,,,,,
relation,is conditioned by,,error condition,error,,,,,,,,
class,error effect,immaterial thing,,,,Fehlerfolge,,,,,,
relation,has effect,,error,error effect,,,,,,,,
class,failure,event,,,,Versagen,event of the loss or deviation from expected function,,,malfunction,Fehlfunktion,https://en.wikipedia.org/wiki/Failure
class,breakdown,event,,,,Panne,,,,,"Betriebsstörung, Liegenbleiber",https://en.wikipedia.org/wiki/Breakdown_(vehicle)
class,technical failure,event,,,,Technischer Defekt,,,,,,https://en.wikipedia.org/wiki/Technical_failure
relation,is caused by,,failure,error,,,,,,,,
class,construction error,error,,,,Konstruktionsfehler,,,,,,https://de.wikipedia.org/wiki/Konstruktionsfehler
class,production error,error,,,,Produktionsfehler,,,,,,
class,usage error,error,,,,Nutzungsfehler,,,,,,
class,fatigue error,error,,,,Materialermüdungsfehler,,,,,,https://en.wikipedia.org/wiki/Fatigue_(material)
class,programming error,error,,,,Programmierfehler,,,,,,https://en.wikipedia.org/wiki/Software_bug
class,electronical error,error,,,,Elektronischer Fehler,,,,,Kommunikationsfehler,
class,mechanical error,error,,,,Mechanischer Fehler,,,,,,
class,error management,process,,,,Fehlermanagement,,,,,,https://de.wikipedia.org/wiki/Fehlermanagement
class,error detection,process,,,,Fehlererkennung,,,how,fault detection,Fehlerentdeckung,https://en.wikipedia.org/wiki/Fault_detection_and_isolation
relation,detects,,error detection,error,,,,,,,,
class,error diagnosis,process,,,,Fehlerdiagnose,,,how,,,https://de.wikipedia.org/wiki/Fehlerdiagnose
class,error analysis,process,,,,Fehleranalyse,,,how,fault isolation,Fehlerisolation,https://en.wikipedia.org/wiki/Fault_detection_and_isolation
class,error compensation,process,,,,Fehlerkompensation,,,,,,
class,error correction,process,,,,Fehlerkorrektur,,,,,,https://de.wikipedia.org/wiki/Fehlerkorrekturverfahren
class,root cause analysis,process,,,,Fehler-Ursachen-Analyse,,,how,root cause analysis (RCA),,https://en.wikipedia.org/wiki/Root_cause_analysis
class,error solution,immaterial thing,,,,Fehlerlösung,,,how,,,
relation,has solution,,error,error solution,,,,,,,,
class,problem solving,process,,,,,,,,,,https://en.wikipedia.org/wiki/Problem_solving
