type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,load spectrum ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Jörg Schulz, Rolf Bosse",,,,,,,,,,,
# description,,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
class,load spectrum,immaterial thing,,,,Lastkollektiv,"Load spectrum is a 2d histogram that contains the load history of a vehicle, i.e. how a vehicle was used, for a given time period.","force, torque, tension",,load collective,,"https://de.wikipedia.org/wiki/Lastkollektiv, https://en.wikipedia.org/wiki/Mechanical_load"
relation,has load spectrum,,"vehicle, part, vehicle component, vehicle current state",load spectrum,,,,,,,,
relation,has load spectrum channel,,load spectrum,load spectrum channel,,,,,,,,
relation,has load spectrum values,,load spectrum,load spectrum values,,,,,,,,
attribute,load spectrum id,,load spectrum,xsd:string,,Lastkollektiv Id,,,,,,
attribute,load spectrum name,,load spectrum,xsd:string,,Lastkollektiv Name,,torque vs rotational speed in the 4th/6th/reverse gear,,,,
attribute,load spectrum description,,load spectrum,xsd:string,,Lastkollektiv Beschreibung,"details about the load spectrum: who, what, where, when, how?","gear, oil",,,,
attribute,load spectrum type,,load spectrum,xsd:string,,Lastkollektivtyp,,"count, sum",,,,
attribute,load spectrum start datetime,,load spectrum,xsd:dateTime,,Lastkollektiv Startzeitpunkt,start of the measurement of load spectrum,,,,,
attribute,load spectrum end datetime,,load spectrum,xsd:dateTime,,Lastkollektiv Endzeitpunkt,end of the measurement of load spectrum,,,,,
,,,,,,,,,,,,
class,load spectrum channel,immaterial thing,load spectrum channel,xsd:string,,Lastkollektiv Kanal,The channel contains information about the axis of the 1d or 2d histogram.,,,header,,
attribute,load spectrum channel name,,load spectrum channel,xsd:string,,,,"rotational speed, torque, temperature oil",,,,
attribute,load spectrum channel unit,,load spectrum channel,xsd:string,,,,"1/min, Nm, celius",,,,
attribute,load spectrum channel type,,load spectrum channel,xsd:string,,,,,,,,
attribute,load spectrum channel lower limit,,load spectrum channel,xsd:float,,,,-40.0,,,,
attribute,load spectrum channel upper limit,,load spectrum channel,xsd:float,,,,220.0,,,,
attribute,load spectrum channel number of bins,,load spectrum channel,xsd:integer,,,,52.0,,,,
,,,,,,,,,,,,
class,load spectrum values,immaterial thing,,,,Lastkollektiv Werte,The values contains a list or a matrix with count values of the histogram.,,,body,,
attribute,load spectrum counting method,,load spectrum values,xsd:string,,,,,,,,
attribute,load spectrum counting unit,,load spectrum values,xsd:string,,,,"frequency, seconds",,,,
attribute,load spectrum channel index,,load spectrum values,xsd:string,,,,"[1, 2, 3]",,,,
attribute,load spectrum channel values,,load spectrum values,xsd:string,,,,"[2, 3, 4]",,,,
,,,,,,,,,,,,
