type,identifier,relation_from,relation_to,parents,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,part ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,,,,,,,,,,,,
# description,"In the automative production, parts are manufactured and assembled into vehicle components and ultimately vehicles.",,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
class,part,,,product,,Bauteil,"A part in the automotive context is a component of a vehicle, such as the engine, brakes, or transmission.",,non-physical object,component,"Teil, Komponente",https://de.wikipedia.org/wiki/Bauteil_(Technik)
relation,is part of,part,vehicle,,,,,,,,,
relation,is part of,part,part,,,,,,,,,
attribute,part id,part,xsd:string,,,Bauteil Id,,,,,,
attribute,part name,part,xsd:string,,,Bauteilname,,,,,"Teilname, Teilebezeichnung",
attribute,part series,part,xsd:string,,,Baureihe,,,,,,
attribute,part production date,part,xsd:date,,,Bauteil Produktionsdatum,,,,,,
attribute,part production date time,part,xsd:dateTime,,,Bauteil Produktionszeitpunkt,,,,,,
class,construction part,,,"part, immaterial thing",,Konstruktionsbauteil,A part that has a part number.,,non-physical object,part as planned,,
attribute,part number,construction part,xsd:string,,,Sachnummer,,,,"part number (PN), component number",Bauteilnummer,https://en.wikipedia.org/wiki/Part_number
attribute,part version,construction part,xsd:string,,,Bauteil Version,,,,,"Änderungsindex, Versionsstand",
attribute,part CAD file,construction part,xsd:string,,,Bauteil CAD Datei,,,,,,
class,batch,,,immaterial thing,,Charge,,,,lot,,https://en.wikipedia.org/wiki/Batch_production
class,batch part,,,"part, material thing",,Chargenbauteil,A part that has a unique batch number.,,unique physical object,lot part,,
attribute,batch number,batch part,xsd:string,,,Chargennummer,,,,lot number,,https://en.wikipedia.org/wiki/Lot_number
attribute,batch production date,batch part,xsd:date,,,,,,,,,
attribute,batch production date time,batch part,xsd:dateTime,,,,,,,,,
class,serialized part,,,"part, material thing",,Serienbauteil,A part that has a unique serial number.,,unique identifiable physical object,"part as built, part as produced",,
attribute,serial number,serialized part,xsd:string,,,Seriennummer,,,,,,
class,electronic part,,,"serialized part, material thing",,Elektronisches Bauteil,A part that has electronics components.,,unique physical object,,,https://en.wikipedia.org/wiki/Electronic_component
attribute,part generation,electronic part,xsd:string,,,Generationsstand,,,,,,
attribute,hardware version,electronic part,xsd:string,,,,,,,Hardwarestand,,
attribute,software version,electronic part,xsd:string,,,,,,,Softwarestand,,
class,part manufacturer,,,manufacturer,,Bauteilhersteller,A manufacturer of a part.,,,,,
relation,produces,part manufacturer,part,,,,,,,,,
relation,is produced by,part,part manufacturer,,,,,,,,,
class,part supplier,,,supplier,,Bauteillieferant,A supplier of a part.,,,,,
relation,supplies,part supplier,part,,,,,,,,,
relation,is supplied by,manufacturer,part supplier,,,,,,,,,
iso standard,ISO 18542-2,,,,Terminology for repair maintenance information,Terminologie für Reparatur- und Wartungsinformationen,,,,repair maintenance information (RMI),,https://www.iso.org/standard/58101.html
class,spare part,,,"part, final product",,Ersatzteil,A part that is replaced in a vehicle.,,,service part,,https://en.wikipedia.org/wiki/Spare_part
class,refurbished spare part,,,spare part,,Aufgearbeiteter Ersatzteil,,,,,,
class,exchange part,,,spare part,,Tauschteil,,,,,,https://de.wikipedia.org/wiki/Ersatzteil
class,alternative part,,,part,,Wahlweises Bauteil,Two parts that can be used interchangeably.,,,,,
class,assembly group,,,part,,Baugruppe,A part that is composed of other parts.,,,,,https://de.wikipedia.org/wiki/Baugruppe
class,sub assembly,,,part,,Unterbaugruppe,A sub assembly is a subset of the components that make up a larger assembly.,,,,,
class,assembly part,,,part,,Zusammenbau,A part that is composed of other parts.,,,,Zusammenbau (ZB),https://de.wikipedia.org/wiki/Zusammenbau
class,modular assembly part,,,assembly part,,Modularer Zusammenbau,,,,,Modularer Zusammenbau (MZ),
class,interstage part,,,part,,Zwischenzustand,A part that is unfinished component.,,,"intermediate state, interstage part","Zwischenzustand (ZZ), unfertige Komponente",
class,semi-finished part,,,part,,Halbzeug,,,,semi-finished product,,https://de.wikipedia.org/wiki/Halbzeug
class,raw part,,,part,,Rohteil,,"cast part, smith part",,,,
class,scope of supply,,,part,,Lieferumfang,A part that is composed of other parts.,,,"scope of delivery, shipping unit",Lieferumfang (LU),
class,directed part,,,part,,Setzteil,,,,,,
class,production part,,,part,,Produktionsteil,,,,,,
class,plattform part,,,part,,Gleichteil,,,,interchangeable part,,https://de.wikipedia.org/wiki/Gleichteil
class,norm part,,,part,,Normteil,,,,,,https://de.wikipedia.org/wiki/Normteil
class,solitary part,,,part,,Neuteil,,,,new part,Solitärteil,
