type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links,is_disjoint_with,is_inverse_of
# prefix,cx,,,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,,,
# title,person ontology,,,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,,,
# contributor,,,,,,,,,,,,,,
# description,,,,,,,,,,,,,,
# import,,,,,,,,,,,,,,
class,person,owl:Thing,,,,Person,,,,,,"https://en.wikipedia.org/wiki/Person, https://schema.org/Person",,
attribute,person id,identifier,person,xsd:string,,Person ID,the unique numerical identity of a person over time,,,Personal identity,,https://en.wikipedia.org/wiki/Personal_identity,,
attribute,full name,name,person,xsd:string,,Volle Name,"combination of first, middle and last name",Max Mustermann,,"person name, personal name, name in full","Vollständiger Name, Realname, Personenname",https://en.wikipedia.org/wiki/Personal_name,,
attribute,first name,name,person,xsd:string,,Vorname,,Max,,given name,,"https://en.wikipedia.org/wiki/Given_name, https://schema.org/givenName",,
attribute,last name,name,person,xsd:string,,Nachname,,Mustermann,,"surname, family name, married name","Familienname, Zuname, Geschlechtsname","https://en.wikipedia.org/wiki/Surname, https://schema.org/familyName",,
attribute,middle name,name,person,xsd:string,,Mittelname,,,optional,,Zwischenname,"https://en.wikipedia.org/wiki/Middle_name, https://schema.org/additionalName",,
attribute,maiden name,name,person,xsd:string,,Geburtsname,,Huber,optional,"birth name,     born name,     name at birth","Taufname, Mädchenname, Ledigname",https://en.wikipedia.org/wiki/Maiden_and_married_names,,
class,personal information,information,,,,Persönliche Informationen,,,,Personal data,Persönliche Daten,https://en.wikipedia.org/wiki/Personal_data,,
attribute,personal title,type,personal information,xsd:string,,Anrede,A title prefixing a person's name.,"Mr, Mrs, Ms, Miss, Mx","Note common titles are meant, while formal titles are  excluded (Sir, Madame).","honorific, honorific title",,"https://en.wikipedia.org/wiki/Honorific, https://en.wikipedia.org/wiki/English_honorifics, https://de.wikipedia.org/wiki/Anrede",,
attribute,academic title,type,personal information,xsd:string,,Titel,,"Dr, Prof, PhD, MD",optional,professional title,,"https://en.wikipedia.org/wiki/Title, https://schema.org/honorificPrefix, https://schema.org/honorificSuffix, https://en.wikipedia.org/wiki/Academic_degree",,
attribute,job title,,personal information,xsd:string,,Berufsbezeichnung,,"Manager, Engineer",optional,"occupational title, professional designation",,"https://schema.org/jobTitle, https://de.wikipedia.org/wiki/Berufsbezeichnung, https://www.wikidata.org/wiki/Q828803",,
attribute,nickname,name,personal information,xsd:string,,Spitzname,,Maxi,optional,"moniker, alternative name",,https://en.wikipedia.org/wiki/Nickname,,
attribute,gender,,personal information,xsd:string,,Geschlecht,,"male, female, divers",optional,,,"https://www.wikidata.org/wiki/Q48277, https://schema.org/gender",,
attribute,age,,personal information,xsd:integer,,Alter,Rounded difference of current date and birth date in years.,30.0,optional,,,https://www.wikidata.org/wiki/Q185836,,
attribute,birth date,date,personal information,xsd:date,,Geburtsdatum,The date when a person was born.,01.12.1980,optional,date of birth,,"https://www.wikidata.org/wiki/Q2389905, https://schema.org/birthDate",,
attribute,birth place,location,personal information,xsd:string,,Geburtsort,The place where a person was born.,Munich,optional,place of birth,,"https://www.wikidata.org/wiki/Q1322263, https://schema.org/birthPlace",,
attribute,death date,date,personal information,xsd:date,,Todesdatum,The date when a person died.,31.12.2080,optional,date of death,,"https://www.wikidata.org/wiki/Q18748141, https://schema.org/deathDate",,
attribute,death place,location,personal information,xsd:string,,Todesort,The place where a person has died.,Munich,optional,place of death,,"https://www.wikidata.org/wiki/Q18658526, https://schema.org/deathPlace",,
class,adult,person,,,,Erwachsener,A person with an age above 18.,,(age some xsd:integer[>=18]),,,"https://en.wikipedia.org/wiki/Adult, https://en.wikipedia.org/wiki/Age_of_majority",,
class,child,person,,,,Minderjähriger,A person with an age below 18.,,(age some xsd:integer[<18]),"minor, underage",,https://en.wikipedia.org/wiki/Minor_(law),parent,
transitive relation,is child of,,child,person,,,,,,,,https://schema.org/children,,is parent of
class,parent,person,,,,Eltern,A person who has at least one child.,,('is parent of’ min 1 Person),,,https://en.wikipedia.org/wiki/Parent,child,
transitive relation,is parent of,,parent,person,,,,,,,,https://schema.org/parent,,is child of
class,relative,person,,,,Verwandter,,,,,,https://en.wikipedia.org/wiki/Family,,
symmetric relation,is related to,,relative,person,,,,,,,,https://schema.org/relatedTo,,
class,sibling,person,,,,Geschwister,,,,,,https://en.wikipedia.org/wiki/Sibling,,
symmetric relation,is sibling of,,sibling,person,,,,,,,,https://schema.org/sibling,,
class,spouse,person,,,,Ehepartner,,,('is married to' max 1 Person),,,https://en.wikipedia.org/wiki/Spouse,,
symmetric relation,is married to,,spouse,person,,,,,,,,https://schema.org/spouse,,
relation,is citizen of,,person,country,,,,,,is national of,,"https://www.wikidata.org/wiki/Property:P27, https://schema.org/nationality",,
relation,knows,,person,person,,,,,,,,,,
relation,speaks,,person,language,,,,,,,,https://schema.org/knowsLanguage,,
