type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,progonsis ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,,,,,,,,,,,,
# description,,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,diagnosis ontology,,,,,,,,,,,
class,vehicle prognosis,process,,,,,prediction of the time at which a system or a component will malfunction,,SAE JA 6268,vehicle prognostics,,"https://en.wikipedia.org/wiki/Prognostics, https://en.wikipedia.org/wiki/Prognosis"
attribute,vehicle prognosis id,,vehicle prognosis,xsd:string,,,,,,,,
attribute,vehicle prognosis date,,vehicle prognosis,xsd:date,,,,,,,,
attribute,vehicle prognosis creator,,vehicle prognosis,xsd:string,,,,,,,,
relation,considers,,vehicle prognosis,"vehicle, vehicle component, vehicle system",,,,,,,,
relation,uses,,vehicle prognosis,"vehicle diagnosis, predictive model",,,,,,,,
relation,uses,,vehicle ,"on board diagnostics 2, telematics",,,,,,,,
relation,predicts,,vehicle prognosis,remaining useful lifetime,,,,,,,,
relation,predicts,,vehicle prognosis,"vehicle error, failure, breakdown",,,,,,,,
relation,determines,,vehicle prognosis,"vehicle health condition, engine health condition, battery health condition",,,,,,,,
relation,recommends,,vehicle prognosis,"condition-based maintenance, predictive maintenance",,,,,,,,
class,model based prognostics,vehicle prognosis,,,,,based on physical models,,,,,
class,data driven prognostics,vehicle prognosis,,,,,based on machine learning models,,,,,
class,experience based prognostics,vehicle prognosis,,,,,based on statistical models,,,,,
class,remaining useful lifetime,immaterial thing,,,,Restnutzungsdauer,,,,"remaining useful lifetime (RUL), remaining useful life, remaining life",,
attribute,remaining mileage,,remaining useful lifetime,xsd:integer,,,Remaining distance the vehicle will drive in the future.,,in kilometer,,,
attribute,remaining lifetime,,remaining useful lifetime,xsd:integer,,,Remaining time the vehicle will drive in the future.,,in years,,,
class,product lifetime,immaterial thing,,,,,,,,product lifespan,,https://en.wikipedia.org/wiki/Product_lifetime
class,predictive model,immaterial thing,,,,,A model that quantifies the risk of failure for a vehicle at any moment in time and use this information to improve scheduling of maintenance.,,,,,https://en.wikipedia.org/wiki/Predictive_modelling
class,vehicle fleet data,immaterial thing,,,,,cloud data,,,,,
class,data stream,immaterial thing,,,,,,,,,,
class,health condition,immaterial thing,,,,,,,,,,
class,vehicle health condition,health condition,,,,,,,,,,
attribute,vehicle state of health,,vehicle health condition,xsd:double,,,,,,,,
class,engine health condition,health condition,,,,,,,,,,
attribute,engine state of health,,engine health condition,xsd:double,,,,,,,,
class,battery health condition,health condition,,,,,,,,,,
attribute,battery state of health,,battery health condition,xsd:double,,,,,,state of health (SoH),,https://en.wikipedia.org/wiki/State_of_health
class,health monitoring,immaterial thing,,,,,,,,,,
class,maintenance,process,,,,Wartung,process,,,,Instandhaltung,"https://en.wikipedia.org/wiki/Maintenance_(technical), https://en.wikipedia.org/wiki/Service_(motor_vehicle)"
class,preventive maintenance,maintenance,,,,Vorbeugende Wartung,process of periodic inspection and repair,,,,,
class,planned maintenance,maintenance,,,,Geplante Wartung,process,,,scheduled maintenance,,
class,condition-based maintenance,maintenance,,,,Zustandsorientierte Wartung,process,,,condition-based maintenance (CBM),,
class,predictive maintenance,maintenance,,,,Vorausschauende Wartung,process,,,,,
class,degradation,process,,,,,,,,,,
class,material fatigue,process,,,,Materialermüdung,process,,,,,https://en.wikipedia.org/wiki/Fatigue_(material)
class,maintenance alert,event,,,,,,,,,,
class,failure classification,process,,,,,,,,,,
failure classification,most severe,,,,,,"breakdown, safety issue",,,,,
failure classification,urgent,,,,,,customer inconvenience,,,,,
failure classification,important,,,,,,,,,,,
failure classification,minor,,,,,,minor repair,,,,,
failure classification,least severe,,,,,,routine maintenance,,,,,
