type,identifier,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,parents,is_part_of,relation_from,relation_to,links
# prefix,cx,,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/,,,,,,,,,,,,
# title,vehicle component ontology,,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,,
# contributor,,,,,,,,,,,,,
# description,,,,,,,,,,,,,
# import,,common ontology,,,,,,,,,,,
class,vehicle component,,Fahrzeugkomponente,A component that is assembled into a vehicle or a vehicle component.,"engine, body, chassis",,"part, component","Fahrzeug Bauteil, Fahrzeugteil, Komponente, Bauteil, Teil",component,vehicle,,,
,,,,,,,,,,,,,
class,main component,,Hauptkomponente,,,,,,component,,,,
class,generic component,,Allgemeine Komponente,,,,,,component,,,,
class,structural component,,Strukturkomponente,,Fahrwerk,,,Mechanische Komponente,component,,,,
class,electrical component,,Elektrokomponente,,,,,,component,,,,
class,functional component,,Funktionskomponente,,,,,,component,,,,
class,safety component,,Fahrzeugsicherheitskomponente,,,,,,component,,,,https://en.wikipedia.org/wiki/Automotive_safety
,,,,,,,,,,,,,
class,body,,Karosserie,,,,"carrosserie, body work, bodywork, coachwork, coach work",,"vehicle component, main component",vehicle,,,https://de.wikipedia.org/wiki/Karosserie
class,powertrain,,Antriebsstrang,,,,"power train, drive, drivetrain, drive train, driveline","Antrieb, Antriebstrang","vehicle component, main component",vehicle,,,https://en.wikipedia.org/wiki/Drivetrain
class,chassis,,Fahrwerk,,,,"frame, base frame, undercarriage, vehicle frame, rolling chassis","Fahrgestell, Chassis, Untergestell, Rahmen","vehicle component, main component",vehicle,,,https://en.wikipedia.org/wiki/Chassis
class,vehicle electrical system,,Elektrosystem,,,,electronics,,"vehicle component, main component, vehicle system",vehicle,,,https://en.wikipedia.org/wiki/Automotive_electronics
,,,,,,,,,,,,,
class,electric powertrain,,Elektrischer Antriebsstrang,,,,"e-powertrain, electric drive, e-drive",Elektrischer Antrieb,"vehicle component, main component",vehicle,,,
class,high voltage system,,Hochvolt System,,,,high-voltage system,,"vehicle component, vehicle system",vehicle,,,
class,hybrid vehicle drivetrain,,Hybridantrieb,,,,,,vehicle component,powertrain,,,https://en.wikipedia.org/wiki/Hybrid_vehicle_drivetrain
,,,,,,,,,,,,,
class,vehicle system,,Fahrzeugsystem,,,,,,vehicle component,,,,
class,mechatronic component,,,,,,,,vehicle component,,,,
,,,,,,,,,,,,,
class,vehicle sensor,,Fahrzeugsensor,,,,,,vehicle component,,,,
class,vehicle actuator,,Fahrzeugaktuator,,,,,Aktor,vehicle component,,,,https://de.wikipedia.org/wiki/Aktor
class,vehicle instrument,,Fahrzeuginstrument,,,,,,vehicle component,interior,,,
class,vehicle control,,Fahrzeugsteuerung,,,,,,vehicle component,interior,,,
class,vehicle switch,,Fahrzeugschalter,,,,,,vehicle component,,,,
,,,,,,,,,,,,,
class,pipe,,Rohr,,,,,,generic component,,,,
class,hose,,Schlauch,,,,,,generic component,,,,
class,line,,Leitung,,,,,,generic component,,,,
class,gasket,,Flachdichtung,,,,,,generic component,,,,
class,seal,,Dichtung,,,,,,generic component,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
class,hood,,Motorhaube,,,,bonnet,Kühlerhaube,vehicle component,exterior,,,https://en.wikipedia.org/wiki/Hood_(car)
class,trunk,,Kofferraum,,,,"boot, dickie, dicky, diggy",,vehicle component,exterior,,,https://en.wikipedia.org/wiki/Trunk_(car)
class,hatch,,Heckklappe,,,,tailgate,,vehicle component,exterior,,,https://de.wikipedia.org/wiki/Heckklappe
class,bumper,,Stoßstange,,,,,,"vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Bumper_(car)
class,grille,,Kühlergrill,,,,,,"vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Grille_(car)
class,paint,,Autolack,,,,,Lack,"vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Automotive_paint
class,wheel housing,,Radkasten,,,,"wheel house, wheel case, wheel well, bucket","Radhaus, Radeinbau","vehicle component, functional component",exterior,,,https://de.wikipedia.org/wiki/Radkasten
class,side rocker,,Seitenschweller,,,,"rocker panel, sill",,"vehicle component, functional component",exterior,,,https://de.wikipedia.org/wiki/Seitenschweller
class,fender,,Kotflügel,,,,wheel cover,"Schutzblech, Radabdeckung","vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Fender_(vehicle)
class,hood scoop,,Lufthutze,,,,"bonnet scoop, bonnet airdam, air dam",,"vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Hood_scoop
class,spoiler,,Spoiler,,,,"rear spoiler, air dams, wing",,"vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Spoiler_(car)
class,diffuser,,Diffusor,,,,,,"vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Diffuser_(automotive)
class,gas pressure spring,,Gasdruckfeder,,,,gas spring,,"vehicle component, functional component",exterior,,,https://en.wikipedia.org/wiki/Gas_spring
class,reflector,,Reflektor,,,,retroreflector,"Retroreflektor, Rückstrahler","vehicle component, safety component",exterior,,,https://en.wikipedia.org/wiki/Retroreflector
class,door,,Autotür,,,,car door,Tür,"vehicle component, functional component",body,,,https://en.wikipedia.org/wiki/Car_door
class,door panel,,Türverkleidung,,,,door card,,vehicle component,door,,,https://en.wikipedia.org/wiki/Door_card
class,door handle,,Türgriff,,,,doorknob,Türklinke,vehicle component,door,,,https://en.wikipedia.org/wiki/Door_handle
class,door seal,,Dichtung,,,,,,"vehicle component, seal",door,,,https://en.wikipedia.org/wiki/Seal_(mechanical)
class,door hinge,,Scharnier,,,,,,vehicle component,door,,,https://en.wikipedia.org/wiki/Hinge
class,door lock,,Schloss,,,,,,vehicle component,door,,,https://en.wikipedia.org/wiki/Lock_and_key
class,child safety lock,,Kindersicherung,,,,,,vehicle component,door,,,https://en.wikipedia.org/wiki/Child_safety_lock
class,door switch,,Türschalter,,,,,,"vehicle component, vehicle switch",door,,,
class,window,,Autofenster,,,,,Fenster,vehicle component,door,,,https://en.wikipedia.org/wiki/Window
class,window shade,,Autofensterrollo,,,,,,vehicle component,door,,,https://de.wikipedia.org/wiki/Rollo_(Sonnenschutz)
class,power window,,Fensterheber,,,,electric windows,,"vehicle component, electrical component",door,,,https://en.wikipedia.org/wiki/Power_window
class,door contact,,Türkontakt,,,,,,"vehicle component, electrical component",door,,,
class,power window switch,,Fensterheberschalter,,,,,,"vehicle component, electrical component, vehicle switch",door,,,
class,side view mirror,,Seitenspiegel,,,,"side mirror, wing mirror",Außenspiegel,vehicle component,door,,,https://en.wikipedia.org/wiki/Side-view_mirror
class,power side view mirror,,elektrischer Seitenspiegel,,,,"power side mirror, power wing mirror, power mirror)",,"vehicle component, electrical component",door,,,https://en.wikipedia.org/wiki/Power_side-view_mirror
class,blind spot monitor,,Totwinkel-Assistent,,,,active blind spot detection,"Spurwechselwarnung, Spurwechselassistent, Spurwechselunterstützung","vehicle component, electrical component, vehicle sensor",door,,,https://en.wikipedia.org/wiki/Blind_spot_monitor
class,roof,,Autodach,,,,,,"vehicle component, functional component",body,,,https://en.wikipedia.org/wiki/Automobile_roof
class,hardtop,,Hardtop,,,,hard top,,vehicle component,roof,,,https://en.wikipedia.org/wiki/Hardtop
class,softtop,,Verdeck,,,,"retractable softtop, soft top",,vehicle component,roof,,,
class,sun roof,,Schiebedach,,,,,,vehicle component,roof,,,https://en.wikipedia.org/wiki/Sunroof
class,sun roof shade,,Schiebedachsonnenschutz,,,,,,vehicle component,roof,,,
class,roof rack,,Autogepäckträger,,,,,,vehicle component,roof,,,https://en.wikipedia.org/wiki/Roof_rack
class,convertible roof,,Cabriolet,,,,,,vehicle component,roof,,,https://en.wikipedia.org/wiki/Convertible
class,retractable hardtop,,Cabrioverdeck,,,,,,vehicle component,roof,,,https://en.wikipedia.org/wiki/Retractable_hardtop
class,detachable hardtop,,Cabrioverdeck,,,,,,vehicle component,roof,,,https://en.wikipedia.org/wiki/Convertible#Detachable_hardtop
class,windshield,,Windschutzscheibe,,,,windscreen,,"vehicle component, functional component",body,,,https://en.wikipedia.org/wiki/Windshield
class,glass,,Autoglas,,,,car glass,,vehicle component,windshield,,,https://en.wikipedia.org/wiki/Car_glass
class,laminated glass,,Verbundsicherheitsglas,,,,,VSG,"vehicle component, safety component",windshield,,,https://en.wikipedia.org/wiki/Laminated_glass
class,window wash system,,Fensterwaschanlage,,,,window wipe system,,"vehicle component, vehicle system",windshield,,,
class,wiper,,Scheibenwischer,,,,"windscreen wiper, windshield wiper, wiper blade, windscreen washer",,vehicle component,window wash system,,,https://en.wikipedia.org/wiki/Windscreen_wiper
class,wiper motor,,Scheibenwischermotor,,,,,,vehicle component,window wash system,,,
class,rain sensor,,Regensensor,,,,,,"vehicle component, vehicle sensor",window wash system,,,https://en.wikipedia.org/wiki/Rain_sensor
class,washer nozzle,,Waschdüse,,,,,,"vehicle component, vehicle sensor",window wash system,,,
class,windshield washer fluid,,Scheibenwaschwasser,,,,"windshield wiper fluid, wiper fluid, screen wash, washer fluid",Scheibenwischwasser,vehicle component,window wash system,,,https://en.wikipedia.org/wiki/Windshield_washer_fluid
class,rear window,,Heckscheibe,,,,"back window, back glass",,"vehicle component, functional component",body,,,https://de.wikipedia.org/wiki/Heckscheibe
class,rear window heater,,Heckscheibenheizung,,,,"defogger, demister, defroster",,vehicle component,rear window,,,https://en.wikipedia.org/wiki/Defogger
class,rear window shade,,Heckscheibensonnenschutz,,,,,,vehicle component,rear window,,,
class,interior,,Fahrzeuginterieur,,,,"vehicle interior, cabin, passenger compartment, passenger cell","Innenausstattung, Fahrgastraum, Innenraum",vehicle component,body,,,https://de.wikipedia.org/wiki/Fahrzeuginterieur
class,seat,,Autositz,,,,,,vehicle component,interior,,,https://en.wikipedia.org/wiki/Car_seat
class,seat occupancy mat,,,,,,seat occupancy detection,,"vehicle component, safety component, vehicle sensor",interior,,,
class,bucket seat,,Schalensitz,,,,,Sportsitz,vehicle component,interior,,,https://en.wikipedia.org/wiki/Bucket_seat
class,power seat,,,,,,,,vehicle component,interior,,,https://en.wikipedia.org/wiki/Power_seat
class,power seat switch,,,,,,,,vehicle component,interior,,,
class,seat belt,,Sicherheitsgurt,,,,"safety belt, seatbelt",Anschnallgurt,"vehicle component, safety component",interior,,,https://en.wikipedia.org/wiki/Seat_belt
class,seat belt buckle,,Gürtelschnalle,,,,,,"vehicle component, safety component",seat belt,,,
class,seat belt strap,,Gurtband,,,,strap,,"vehicle component, safety component",seat belt,,,
class,seat belt tensioner,,Gurtstraffer,,,,"belt tensioner, retractor tension, seat belt buckle tensioner, tightener",,"vehicle component, safety component",seat belt,,,
class,seat belt reel,,Aufrollmechanismus,,,,"electromotive automatic reel, electromotive reel, reversible electromotive reel",,"vehicle component, safety component",seat belt,,,
class,head restraint,,Kopfstütze,,,,"headrest, headrests",,"vehicle component, safety component",interior,,,https://en.wikipedia.org/wiki/Head_restraint
class,seat bracket,,Sitzkonsole,,,,,,vehicle component,interior,,,https://de.wikipedia.org/wiki/Sitzkonsole
class,seat rail,,Sitzschiene,,,,,,vehicle component,interior,,,https://de.wikipedia.org/wiki/Sitzschiene
class,armrest,,Armlehne,,,,,,vehicle component,interior,,,https://en.wikipedia.org/wiki/Armrest
class,interior light,,Innenbeleuchtung,,,,,Innenleuchte,vehicle component,interior,,,
class,glove compartment,,Handschuhfach,,,,"glove box, jockey box",,vehicle component,interior,,,https://en.wikipedia.org/wiki/Glove_compartment
class,grab handle,,Haltegriff,,,,,,vehicle component,interior,,,
class,cup holder,,Getränkehalter,,,,,,vehicle component,interior,,,https://en.wikipedia.org/wiki/Cup_holder
class,rear view mirror,,Rückspiegel,,,,rearview mirror,,vehicle component,interior,,,https://en.wikipedia.org/wiki/Rear-view_mirror
class,sun visor,,Sonnenblende,,,,,Blende,vehicle component,interior,,,https://en.wikipedia.org/wiki/Sun_visor
class,floor,,Fussboden,,,,,,vehicle component,interior,,,
class,floor mat,,Bodenmatte,,,,"vehicle mat, floormat","Fußmatte, Fussmatte",vehicle component,floor,,,https://en.wikipedia.org/wiki/Vehicle_mat
class,molded carpet,,geformter Teppich,,,,,,vehicle component,floor,,,https://en.wikipedia.org/wiki/Molded_carpet
class,roof liner,,Innenverdeck,,,,,"Dachhimmel, Innenhimmel",vehicle component,interior,,,https://de.wikipedia.org/wiki/Innenverdeck
class,heating and air conditioning system,,Klimatechnik,,,,"heating, ventilation, air conditioning, HVAC",,"vehicle component, vehicle system",interior,,,"https://en.wikipedia.org/wiki/Heating,_ventilation,_and_air_conditioning"
class,blower motor,,Lüftungsmotor,,,,,,vehicle component,heating and air conditioning system,,,
class,interior air filter,,Luftfilter,,,,,,vehicle component,heating and air conditioning system,,,
class,interior filter,,Innenraumfilter,,,,,,vehicle component,heating and air conditioning system,,,
class,interior electric heater,,elektrische Heizung,,,,electric auxiliary heater,,vehicle component,heating and air conditioning system,,,
class,air conditioning,,Klimatisierung,,,,"AC, limate control",,vehicle component,heating and air conditioning system,,,
class,air conditioning compressor,,Klimakompressor,,,,,,vehicle component,heating and air conditioning system,,,
class,air conditioning condenser,,Klimakondensator,,,,,,vehicle component,heating and air conditioning system,,,
class,temperature sensor,,Temperatursensor,,,,,Temperaturfühler,vehicle component,heating and air conditioning system,,,
class,evaporator,,Verdampfer,,,,,,vehicle component,heating and air conditioning system,,,
class,air duct,,Lüftungskanal,,,,,,vehicle component,interior,,,
class,air flap,,Luftklappe,,,,,,vehicle component,interior,,,
class,car control,,Fahrzeugsteuerung,,,,user interface,,"vehicle component, vehicle control",interior,,,https://en.wikipedia.org/wiki/Car_controls
class,ignition switch,,Zündschalter,,,,"starter switch, start switch",Zündschloss,"vehicle component, vehicle control, vehicle switch",car control,,,https://en.wikipedia.org/wiki/Ignition_switch
class,steering wheel,,Lenkrad,,,,"steering, wheel, driving wheel, hand wheel",Steuerrad,"vehicle component, vehicle control",car control,,,https://en.wikipedia.org/wiki/Steering_wheel
class,horn,,Hupe,,,,hooter,Hörner,"vehicle component, vehicle control",steering wheel,,,https://en.wikipedia.org/wiki/Vehicle_horn
class,steering column,,Lenksäule,,,,steering post,,"vehicle component, vehicle control",steering wheel,,,
class,steering column switch,,,,,,,,"vehicle component, vehicle switch",steering wheel,,,
class,turn indicator,,Fahrtrichtungsanzeiger,,,,,,"vehicle component, vehicle switch",car control,,,
class,high beam switch,,Fernlicht,,,,Aufblendlicht,,"vehicle component, vehicle switch",car control,,,
class,wash switch,,,,,,,,"vehicle component, vehicle switch",car control,,,
class,accelerator pedal,,Gaspedal,accelerating,,,throttle,Fahrpedal,"vehicle component, vehicle control",car control,,,
class,electronic throttle control,,elektronische Drosselklappensteuerung,,,,ETC,,"vehicle component, vehicle control",car control,,,https://en.wikipedia.org/wiki/Electronic_throttle_control
class,brake pedal,,Bremspedal,braking,,,,Fußbremse,"vehicle component, vehicle control",car control,,,https://en.wikipedia.org/wiki/Brake
class,parking brake,,Feststellbremse,,,,"handbrake, emergency brake","Handbremse, Parkbremse","vehicle component, vehicle control",car control,,,https://en.wikipedia.org/wiki/Parking_brake
class,clutch pedal,,Kupplungspedal,,,,clutch lever,,"vehicle component, vehicle control",car control,,,
class,gear stick,,Schalthebel,,,,"gear lever, gearshift, shifter, transmission lever, gear selector","Schaltknüppel, Schaltknauf, Ganghebel, Wählhebel, Gangwahlhebel, Handschalthebel, Gangwahlschalter","vehicle component, vehicle control",car control,,,https://en.wikipedia.org/wiki/Gear_stick
