type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle information ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,The vehicle information ontology contains the product master data.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,vehicle ontology,,,,,,,,,,,
class,vehicle information,information,,,,Fahrzeuginformation,,,,"vehicle infos, vehicle details, vehicle specs, vehicle configuration, vehicle master data",Fahrzeugspezifikationen,
class,vehicle model,vehicle information,,,,,,,,general information,,
relation,has vehicle model,,vehicle,vehicle model,,,,,,,,
relation,is variant of,,vehicle,vehicle model,,,,,,,,https://schema.org/isVariantOf
attribute,vehicle brand,,vehicle model,xsd:string,Make,Marke,,"Audi, BMW, Mercedes",,"make, marque",,https://schema.org/brand
attribute,vehicle model,,vehicle model,xsd:string,Model,Fahrzeugmodell,,"320, C220, Golf, Polo",,base model,,"https://en.wikipedia.org/wiki/Car_model, https://www.wikidata.org/wiki/Q29048322, https://schema.org/ProductModel"
attribute,vehicle model series,,vehicle model,xsd:string,Model Series,Vertriebsbaureihe,customer series number,"3er, C-Klasse, Golf, Polo",,"model range, series, range, sales series, sales designation","Modell, Modellbaureihe, Baureihe, Verkaufsbezeichnung, Handelsbezeichnung",https://schema.org/ProductGroup
attribute,vehicle model variant,,vehicle model,xsd:string,Model Variant,Modellvariante,specification of the vehicle model,"740Li, GLS, GLK, Golf GTI",,"model version, trim level, trim",Modellausführung,"https://en.wikipedia.org/wiki/Car_model, https://en.wikipedia.org/wiki/Trim_level_(automobile)"
attribute,vehicle development series,,vehicle model,xsd:string,Development Series,Fahrzeugbaureihe,internal series number,"BMW: G26, Mercedes: W212",,"development series, development model range, e-series, derivative, development code","Entwicklungsbaureihe, E-Baureihe, E-Reihe, Derivat, Entwicklungscode, Entwicklungsbaureihe (EBR), Baureihe, Entwicklungsbezeichnung",
attribute,vehicle model generation,,vehicle model,xsd:integer,,Fahrzeuggeneration,,"1, 2, 3",,,,
attribute,vehicle model architecture,,vehicle model,xsd:string,,Fahrzeugarchitektur,,,,,,
attribute,vehicle model start of production,,vehicle model,xsd:date,,Produktionsbeginn,The release date of a vehicle model (often used to differentiate versions of the same make and model).,,,,,https://schema.org/vehicleModelDate
attribute,vehicle model end of production,,vehicle model,xsd:date,,Produktionsende,,present,,,,
attribute,previous vehicle model,,vehicle model,xsd:string,,Vorgängermodell,,,,,,
class,vehicle body information,vehicle information,,,,,,,,,,
attribute,euro car segment,,vehicle body information,xsd:string,,,,"A, B, C",,,,https://en.wikipedia.org/wiki/Euro_Car_Segment
attribute,body style,,vehicle body information,xsd:string,,,"Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","sedan, station wagon, coupe",,body type,Kategorie,https://schema.org/bodyType
attribute,number of doors,,vehicle body information,xsd:integer,,Anzahl der Türen,The number of doors.,"2, 4",,,,https://schema.org/numberOfDoors
attribute,vehicle drag coefficient,,vehicle body information,xsd:double,,,aerodynamic drag coefficient,0.3,,Cd,,https://en.wikipedia.org/wiki/Automobile_drag_coefficient
attribute,vehicle exterior color,,vehicle body information,xsd:string,,,The color of the product.,,,,,https://schema.org/color
class,vehicle interior information,vehicle information,,,,,,,,,,
attribute,number of seats,,vehicle interior information,xsd:integer,,Anzahl der Sitze,"The number of persons that can be seated (e.g. in a vehicle), both in terms of the physical space available, and in terms of limitations set by law.","2, 4, 5, 7",,,Anzahl der Sitzplätze,"https://schema.org/seatingCapacity, https://schema.org/vehicleSeatingCapacity"
attribute,number of passengers,,vehicle interior information,xsd:integer,,Anzahl der Passagiere,,"2, 4, 5, 7",including driver,passenger capacity,,
attribute,number of standing places,,vehicle interior information,xsd:integer,,Anzahl der Stehplätze,,"1, 2, 3",,standing capacity,,https://de.wikipedia.org/wiki/Stehplatz
attribute,number of seat rows,,vehicle interior information,xsd:integer,,Anzahl der Sitzreihen,,"2, 3",,,,
attribute,vehicle interior color,,vehicle interior information,xsd:string,,,The color or color combination of the interior of the vehicle.,,,,,https://schema.org/vehicleInteriorColor
attribute,vehicle interior type,,vehicle interior information,xsd:string,,,"The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.). While most interior types are characterized by the material used, an interior type can also be based on vehicle usage or target audience.","synthetic fabric, leather, wood",,,,https://schema.org/vehicleInteriorType
attribute,air conditioning type,,vehicle interior information,xsd:string,,,,"automatic, manual",,,,https://en.wikipedia.org/wiki/Air_conditioning
class,vehicle powertrain information,vehicle information,,,,,,,,,,
attribute,powertrain layout,,vehicle powertrain information,xsd:string,,,is defined by the location of the engine and drive wheels,"rear-engine, front-wheel-drive",,,,https://en.wikipedia.org/wiki/Powertrain_layout
attribute,vehicle transmission,,vehicle powertrain information,xsd:string,,,"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars).","automatic, manual",,,,https://schema.org/vehicleTransmission
attribute,number of forward gears,,vehicle powertrain information,xsd:integer,,Anzahl der Gänge,The total number of forward gears available for the transmission system of the vehicle.,"5, 6, 8",,number of speeds,,https://schema.org/numberOfForwardGears
attribute,steering wheel position,,vehicle powertrain information,xsd:string,,,The position of the steering wheel or similar device (mostly for cars).,"left, right",,,,https://schema.org/steeringPosition
attribute,steering type,,vehicle powertrain information,xsd:string,,,,"rack and pinion, power steering",,,,https://en.wikipedia.org/wiki/Steering
attribute,clutch type,,vehicle powertrain information,xsd:string,,Kupplungsart,,"wet, centrifugal",,,,https://en.wikipedia.org/wiki/Clutch
class,vehicle chassis information,vehicle information,,,,,,,,,,
attribute,drive wheel type,,vehicle powertrain information,xsd:string,,,"The drive wheel configuration, i.e. which roadwheels will receive torque from the vehicle's engine via the drivetrain.","front, rear, all",,"drive wheel configuration, driveline",,"https://en.wikipedia.org/wiki/Drive_wheel, https://schema.org/driveWheelConfiguration"
attribute,number of axles,,vehicle chassis information,xsd:integer,,Anzahl der Achsen,The number of axles.,"2, 3",,,,https://schema.org/numberOfAxles
attribute,number of drive axles,,vehicle chassis information,xsd:integer,,Anzahl der Antriebsachsen,,"1, 2",,,,
class,vehicle engine information,vehicle information,,,,,Information about the engine or engines of the vehicle.,,,,,
attribute,engine name,,vehicle engine information,xsd:string,,Motorbezeichnung,,"3.5L V6 TURBO, 3.0L L6 DOHC 24V",,,,https://schema.org/vehicleEngine
attribute,engine type code,,vehicle engine information,xsd:string,,Motortypschlüssel,,,,,,
attribute,engine series,,vehicle engine information,xsd:string,,Motorbaureihe,,b38,,,,
attribute,engine version,,vehicle engine information,xsd:string,,Motorversion,,,,,Technische Überarbeitung,
attribute,engine generation,,vehicle engine information,xsd:string,,Motorgeneration,,"1, 2, 3",,,,
attribute,engine manufacturer,,vehicle engine information,xsd:string,,Motorhersteller,,"Audi, BMW, Mercedes, Volkswagen",,,,
attribute,engine form,,vehicle engine information,xsd:string,,Motorform,,"straight/inline, V, W, boxer/flat",,,"Bauform, Bauweise",https://en.wikipedia.org/wiki/Engine_configuration
attribute,number of cylinders,,vehicle engine information,xsd:integer,,Anzahl der Zylinder,,"3, 4, 5, 6, 8, 12",,,Zylinderanzahl,
attribute,number of valves,,vehicle engine information,xsd:integer,,,,,,,,
attribute,bore,,vehicle engine information,xsd:double,,,,,in mm,,,
