type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle lifecycle ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,,,,,,,,,,,,
# description,,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
class,vehicle lifecycle,immaterial thing,,,,,,,,,,https://en.wikipedia.org/wiki/Product_lifecycle
class,vehicle lifecycle stage,immaterial thing,,,,,,,,,,
relation,is part of,,vehicle lifecycle stage,vehicle lifecycle,,,,,,,,
vehicle lifecycle stage,raw material mining,,,,,,,,,extraction,,
vehicle lifecycle stage,raw material processing,,,,,,,,,,,
vehicle lifecycle stage,vehicle component manfacturing,,,,,,,,,,,
vehicle lifecycle stage,vehicle production,,,,,,,,,,,
vehicle lifecycle stage,vehicle use,,,,,,,,,,,
vehicle lifecycle stage,vehicle end of life,,,,,,,,,,,
,,,,,,,,,,,,
vehicle lifecycle stage,vehicle reuse,,,,,,The end-of-life vehicle component is used for the same purpose for which it was originally made.,,,,,
vehicle lifecycle stage,vehicle recovery,,,,,,"The reclamation of metals and metal compounds, inorganic materials and components used for pollution abatement and reuse of oil.",,Annex IIB to Directive 75/442/EEC,,,
vehicle lifecycle stage,vehicle recycling,,,,,,"The reprocessing of waste materials, for either the original purpose or a different purpose.",,,,,
vehicle lifecycle stage,vehicle disposal,,,,,,,,,,,
,,,,,,,,,,,,
class,circular economy,immaterial thing,,,,,,,,,,https://en.wikipedia.org/wiki/Circular_economy
vehicle lifecycle stage,cradle to gate,,,,,,,,,,,
vehicle lifecycle stage,cradle to grave,,,,,,,,,,,
vehicle lifecycle stage,gate to gate,,,,,,,,,,,
vehicle lifecycle stage,cradle to cradle,,,,,,,,,,,https://en.wikipedia.org/wiki/Cradle-to-cradle_design
,,,,,,,,,,,,
class,fuel cycle,immaterial thing,,,,,,,,,,
fuel cycle,well to wheel,,,,,,,,,,,
fuel cycle,well to tank,,,,,,,,,,,
fuel cycle,tank to wheel,,,,,,,,,,,
