type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,Ontology for vehicles in the automotive industry.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,part ontology,,,,,,,,,,,
class,vehicle,final product,,,,Fahrzeug,A vehicle is a motor-powered road vehicle that transports people or cargo (not operated on rails).,"car, motorcycle, truck","we include only motorised road vehicles, i.e. we exclude: aircrafts, watercraft, railway vehicle, human powered vehicles","motor vehicle, road vehicle, motorised vehicle","Kraftfahrzeug (KFZ), Motorfahrzeug (MFZ), Straßenfahrzeug",https://en.wikipedia.org/wiki/Motor_vehicle
attribute,vehicle identification number,identifier,vehicle,xsd:string,,Fahrzeug-Identifizierungsnummer,The Vehicle Identification Number (VIN) is a unique serial number used by the automotive industry to identify individual motor vehicles.,,17-digit unique identifier,vehicle identification number (VIN),"Fahrzeugidentifikationsnummer (FIN), Fahrgestellnummer","https://en.wikipedia.org/wiki/Vehicle_identification_number, https://schema.org/vehicleIdentificationNumber"
attribute,vehicle type code,,vehicle,xsd:string,,Typschlüssel,Is a unique identifier for vehicle types.,,,model type code,"Typ-Schlüssel, Typenschlüssel, Fahrzeugtyp",
attribute,vehicle description,,vehicle,xsd:string,,,,,,,,
attribute,vehicle configuration,,vehicle,xsd:string,,,"A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.",,,,,https://schema.org/vehicleConfiguration
attribute,vehicle special usage,,vehicle,xsd:string,,,"Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school, or as a taxi. The legislation in many countries requires this information to be revealed when offering a car for sale.",,,,,https://schema.org/vehicleSpecialUsage
relation,is made by,,vehicle,vehicle manufacturer,,,,,,,,
class,vehicle manufacturer,manufacturer,,,,Fahrzeughersteller,,"Audi, BMW, Mercedes, Volkswagen",,original equipment manufacturer (OEM),,
class,passenger vehicle,vehicle,,,,Passagierfahrzeug,A vehicle that transports people.,car,"< 9 passengers, Klasse M",,Straßenpersonenfahrzeug,
relation,transports,,passenger vehicle,passenger,,,,,,,,
class,transport vehicle,vehicle,,,,Transportfahrzeug,A vehicle that transports cargo.,truck,"Klasse N, O","cargo vehicle, road freight vehicle",Straßengüterfahrzeug,https://en.wikipedia.org/wiki/Cargo
relation,transports,,transport vehicle,cargo,,,,,,,,
class,commercial vehicle,vehicle,,,,Nutzfahrzeug,A vehicle that transports people or cargo for payment.,,> 9 passengers,,"Nutzfahrzeug (NFZ), Nutzkraftwagen (NKW)",https://en.wikipedia.org/wiki/Commercial_vehicle
relation,is owned by,,commercial vehicle,organisation,,,,,,,,
class,road,place,,,,Straße,,,,,,"https://en.wikipedia.org/wiki/Road, https://en.wikipedia.org/wiki/Mode_of_transport"
relation,drives on,,vehicle,road,,,,,,,,
class,highway,place,,,,Autobahn,,,,,,"https://en.wikipedia.org/wiki/Controlled-access_highway, https://de.wikipedia.org/wiki/Autobahn"
relation,drives on,,vehicle,road,,,,,,,,
class,passenger,person,,,,Fahrgast ,,,,occupant,"Passagier, Insasse",
relation,transports,,vehicle,passenger,,,,,,,,
relation,is transported by,,passenger,vehicle,,,,,,,,
class,cargo,material thing,,,,Fracht,,,,goods,"Ladung, Cargo, Frachtgut, Transportgut",https://en.wikipedia.org/wiki/Cargo
relation,transports,,transport vehicle,cargo,,,,,,,,
relation,is transported by,,cargo,transport vehicle,,,,,,,,
class,owner,person,,,,Besitzer,,,,,,
relation,owns,,owner,vehicle,,,,,,,,
class,driver,person,,,,Fahrer,,,,,,
relation,drives,,driver,vehicle,,,,,,,,
class,truck driver,driver,,,,Lastwagenfahrer,,,,,,https://en.wikipedia.org/wiki/Truck_driver
relation,drives,,truck driver,"truck, van",,,,,,,,
class,bus driver,driver,,,,Busfahrer,,,,,,https://en.wikipedia.org/wiki/Bus_driver
relation,drives,,bus driver,"bus, coach",,,,,,,,
class,private vehicle,vehicle,,,,Privatfahrzeug,A vehicle that is used for private purposes.,passenger car,ownership,,,
relation,is owned by,,private vehicle,person,,,,,,,,
class,company vehicle,car,,,,Firmenwagen,A vehicle that is used for commercial purposes.,,ownership,company car,Dienstwagen,"https://de.wikipedia.org/wiki/Firmenwagen, https://en.wikipedia.org/wiki/Take-home_vehicle"
relation,is owned by,,company vehicle,organisation,,,,,,,,
class,fleet,immaterial thing,,,,Flotte,,,,,,
class,fleet vehicle,vehicle,,,,Flottenfahrzeug,A vehicle that is part of a fleet.,"rental car, taxi",usage,,,https://en.wikipedia.org/wiki/Fleet_vehicle
relation,is part of,,fleet vehicle,fleet,,,,,,,,
class,car,passenger vehicle,,,,Auto,"4-wheeled, < 9 passengers",,,"passenger car, automobile","Personenkraftwagen (PKW), Automobil, Karre",https://en.wikipedia.org/wiki/Car
class,motorcycle,passenger vehicle,,,,Motorrad,"2, 3, 4-wheeled motorcycle, max 400kg",,Klasse L,,Kraftrad,https://en.wikipedia.org/wiki/Motorcycle
class,moped,motorcycle,,,,Kleinkraftrad,< 50ccm,,Klasse L,,Kraftrad,https://de.wikipedia.org/wiki/Kleinkraftrad
class,multi-purpose vehicle ,"passenger vehicle, commercial vehicle",,,Minivan,Van,"< 9 passengers, based on car platform, to transport passengers","V-class, VW T6",,"multi-purpose vehicle (MPV), van, multi utility vehicle (MUV), Asian Utility Vehicle (AUV)","Transporter, Kleintransporter, Kleinbus",https://en.wikipedia.org/wiki/Minivan
class,large multi-purpose vehicle,multi-purpose vehicle ,,,Large MPV,Van,large MPV,"S-Max, Sharan, Alhambra, Galaxy, Espace",,,"Großraumlimousine, Großraum-Van",https://en.wikipedia.org/wiki/M-segment#Large_MPVs
class,compact multi-purpose vehicle,multi-purpose vehicle ,,,Compact MPV,Kompaktvan,"mid-sized MPV, middle size, C-segment","2er, B-class, Touran, C-Max, Picasso, Scenic, Zafira, Jogger",,,,https://en.wikipedia.org/wiki/Compact_MPV
class,mini multi-purpose vehicle,multi-purpose vehicle ,,,Mini MPV,Minivan,"small MPV, smallest size, based on hatchbacks (B-segment), < 4.1 m","A2, A-class, B-Max, ix20, 500L, Jazz, Yaris, Space Star, Venga, Meriva",,small MPV,,https://en.wikipedia.org/wiki/Mini_MPV
class,microvan,multi-purpose vehicle ,,,,Microvan,kei car,"Carry, Porter, Wagon R, Agila, Ignis, Move",,,,https://en.wikipedia.org/wiki/Microvan
class,leisure activity vehicle,multi-purpose vehicle ,,,,Hochdachkombi,,"Citan, Caddy, Kangoo, Berlingo, Doblo, Dokker",,"leisure activity vehicle (LAV), van-based MPV, small passenger van",Hochdachkombi (HDK),https://en.wikipedia.org/wiki/Minivan#Leisure_activity_vehicle
class,minibus,"passenger vehicle, commercial vehicle",,,,Minibus,"9 < passengers < 23, seated or standing",,,"microbus, minicoach, full-size van, large passenger van","Kleinbus, Kleintransporter",https://en.wikipedia.org/wiki/Minibus
class,bus,"passenger vehicle, commercial vehicle",,,,Bus,"> 24 passengers, seated or standing",,,omnibus,Omnibus,https://en.wikipedia.org/wiki/Bus
class,coach,"passenger vehicle, commercial vehicle",,,,Reisebus,"> 24 passengers, only seated",,,motorcoach,Fernbus,https://en.wikipedia.org/wiki/Coach_(bus)
