type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle usage ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,,,,,,,,,,,,
# description,,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
class,vehicle usage,event,,,,,,,,,,
attribute,mileage,,vehicle usage,xsd:integer,,Kilometerstand,,123.0,in kilometers,,,
attribute,mileage date,,vehicle usage,xsd:date,,,,,,,,
attribute,max speed,,vehicle usage,xsd:integer,,,,,,,,
attribute,max rotational speed,,vehicle usage,xsd:integer,,Drehzahl,,,,,,https://en.wikipedia.org/wiki/Rotational_speed
attribute,max acceleration,,vehicle usage,xsd:integer,,,,,,,,
attribute,max deceleration,,vehicle usage,xsd:integer,,,,,,,,
attribute,gear switching,,vehicle usage,xsd:string,,,,,,,,
attribute,fuel consumption,,vehicle usage,xsd:double,,,,,in liters / 100 km,,,https://en.wikipedia.org/wiki/Fuel_efficiency
,,,,,,,,,,,,
class,vehicle testing,event,,,,,,,,,,
class,vehicle inspection,event,,,,Untersuchung,,,,,,
class,vehicle maintenance,maintenance,,,,,,,,,,
class,vehicle service,event,,,,,,,,,,https://en.wikipedia.org/wiki/Service_(motor_vehicle)
class,vehicle repair,event,,,,,,,,,,
class,vehicle repair shop,place,,,,Autowerkstatt,,,,,,https://en.wikipedia.org/wiki/Automobile_repair_shop
attribute,maintenance cycle,,,xsd:integer,,Wartungszyklus,,in months,,vehicle,xsd:integer,
,,,,,,,,,,,,
class,vehicle damage,event,,,,,,,,,,
class,vehicle accident,event,,,,,,,,,,
class,vehicle modification,event,,,,,,,,,,
,,,,,,,,,,,,
class,driving pattern,immaterial thing,,,,Fahrmuster,,,,"driving style, driver behaviour",,
class,aggressive driving pattern,driving pattern,,,,,,,,,,
,,,,,,,,,,,,
class,speed profile,immaterial thing,,,,,,,,,,
relation,is part of,,speed profile,driving pattern,,,,,,,,
,,,,,,,,,,,,
class,vehicle environment,immaterial thing,,,,,,,,climate,,https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification
vehicle environment,hot temperature climate,,,,,,,,,,,
vehicle environment,mild temperature climate,,,,,,,,,,,
vehicle environment,cold temperature climate,,,,,,,,,,,
vehicle environment,wet humidity climate,,,,,,,,,,,https://en.wikipedia.org/wiki/Precipitation
vehicle environment,dry humidity climate,,,,,,,,,,,https://en.wikipedia.org/wiki/Precipitation
